这个 ||| 259
共 ||| 372
北京 ||| 160
球 ||| 381
40 ||| 168
事 ||| 232
医 ||| 239
哪里 ||| 844
量 ||| 411
了 ||| 744
教 ||| 366
管 ||| 383
80 ||| 167
病 ||| 185
装 ||| 201
计 ||| 228
政 ||| 316
现在 ||| 152
舰 ||| 200
60 ||| 187
以 ||| 259
些 ||| 1258
办 ||| 310
格 ||| 385
社 ||| 176
自 ||| 372
0 ||| 2347
流 ||| 196
得 ||| 289
on ||| 159
30 ||| 254
哪 ||| 4136
店 ||| 178
个 ||| 1848
很好奇 ||| 244
精 ||| 155
适 ||| 196
国 ||| 1488
积 ||| 376
区 ||| 772
状 ||| 201
队 ||| 241
下 ||| 357
构 ||| 226
是 ||| 12981
大 ||| 2083
相 ||| 155
管理 ||| 232
置 ||| 177
育 ||| 164
标 ||| 293
布 ||| 262
数 ||| 296
产 ||| 605
务 ||| 313
交 ||| 184
器 ||| 301
运 ||| 343
很 ||| 259
站 ||| 525
. ||| 305
国际 ||| 249
请问 ||| 3513
四 ||| 152
北 ||| 404
部 ||| 484
基 ||| 380
我很好 ||| 238
世 ||| 333
场 ||| 383
片 ||| 275
三 ||| 446
足 ||| 166
系统 ||| 175
思 ||| 172
尼 ||| 270
形 ||| 182
存 ||| 204
奇 ||| 379
首 ||| 226
具 ||| 173
要 ||| 745
名 ||| 1056
体 ||| 410
牌 ||| 179
青 ||| 159
联 ||| 287
技术 ||| 161
出 ||| 783
型 ||| 1142
营 ||| 228
几 ||| 290
参 ||| 181
轴承 ||| 197
之 ||| 358
内 ||| 365
-1 ||| 180
使用 ||| 237
保 ||| 239
儿 ||| 162
时候 ||| 1375
系 ||| 428
频 ||| 197
亚 ||| 412
加 ||| 231
请 ||| 3648
局 ||| 201
人民 ||| 183
代 ||| 527
级 ||| 437
现 ||| 370
材 ||| 165
列 ||| 196
2 ||| 2007
如 ||| 328
服 ||| 158
50 ||| 234
主 ||| 1057
知 ||| 5896
治 ||| 167
地方 ||| 350
者 ||| 284
期 ||| 221
码 ||| 304
技 ||| 331
样 ||| 614
写 ||| 207
神 ||| 277
最 ||| 385
会 ||| 614
子 ||| 576
克 ||| 456
呢 ||| 229
民 ||| 387
军 ||| 175
特 ||| 594
小 ||| 496
属 ||| 1476
族 ||| 172
第 ||| 332
定 ||| 274
始 ||| 216
限 ||| 342
哪个 ||| 1168
机 ||| 896
西 ||| 507
士 ||| 292
视 ||| 221
展 ||| 206
演 ||| 178
公司 ||| 631
航 ||| 269
统 ||| 255
本 ||| 460
编 ||| 307
诉 ||| 307
曲 ||| 185
少 ||| 3934
传 ||| 232
造 ||| 154
馆 ||| 155
过 ||| 274
石 ||| 245
语言 ||| 167
口 ||| 414
发 ||| 765
作 ||| 862
戏 ||| 238
员 ||| 255
香 ||| 157
战 ||| 361
总 ||| 363
月 ||| 218
开 ||| 483
创 ||| 279
环 ||| 152
